Customer_Name,Recency,Frequency,Monetary,Cluster
Kenji Harris,9,1,235.66,0
Kenji Hassan,43,1,376.72,0
Kenji Johansson,300,1,49.72,0
Kenji Johnson,14,1,264.5,0
Kenji Jones,442,2,378.08,2
Kenji Leroy,942,1,198.83,1
Kenji Martin,272,3,334.58,2
Kenji Miller,108,1,92.61,0
Kenji Moreau,84,2,253.37,2
Kenji Nilsson,1066,1,54.96,1
Kenji Robinson,945,1,1657.59,3
Kenji Romano,625,3,116.81,2
Kenji Rossi,1089,1,21.06,1
Kenji Santos,149,1,42.69,0
Kenji Schmidt,745,1,79.3,1
Kenji Sharma,617,1,205.58,1
Kenji Smith,321,1,64.5,0
Kenji Suzuki,868,1,18.91,1
Kenji Taylor,835,1,751.49,1
Kenji Wang,33,2,424.66999999999996,2
Kenji White,710,1,123.9,1
Kenji Williams,138,1,301.48,0
Kenji Yamamoto,228,1,25.7,0
Kenji Zhang,1051,1,271.99,1
Layla Ahmed,364,1,113.35,0
Layla Anderson,798,1,193.72,1
Layla Chen,216,1,117.56,0
Layla Ferrari,243,1,109.08,0
Layla Fischer,833,1,260.91,1
Layla Garcia,425,2,512.4,2
Layla Jackson,170,2,97.13999999999999,2
Layla Johansson,286,2,594.21,2
Layla Khan,1059,1,57.55,1
Layla Kumar,622,1,148.32,1
Layla Leroy,256,1,186.8,0
Layla Li,618,1,227.49,1
Layla Oliveira,815,1,2701.31,3
Layla Park,39,2,124.49000000000001,2
Layla Patel,449,1,334.09,0
Layla Rodriguez,65,1,179.64,0
Layla Romano,454,1,76.32,0
Layla Santos,966,1,65.56,1
Layla Sharma,97,1,308.12,0
Layla Smith,72,1,606.67,0
Layla Thomas,604,1,95.85,1
Layla Williams,414,1,790.88,0
Layla Yamamoto,37,1,212.76,0
Layla Zhang,514,1,15.84,0
Li Davis,531,1,44.59,0
Li Harris,190,2,180.4,2
Li Khan,578,1,461.9,1
Li Kim,20,1,55.53,0
Li Laurent,683,1,3007.62,3
Li Miller,406,2,1108.8400000000001,2
Li Müller,440,1,44.84,0
Li Oliveira,545,1,35.45,0
Li Pereira,205,2,263.62,2
Li Rossi,429,2,136.9,2
Li Sharma,804,1,396.49,1
Li Smith,160,1,243.95,0
Li Suzuki,168,2,467.78,2
Li Taylor,991,1,169.97,1
Li Wang,80,2,146.5,2
Li White,987,1,194.11,1
Li Yamamoto,978,1,16.95,1
Liam Ali,862,1,1410.66,3
Liam Clark,251,2,2076.5299999999997,3
Liam Costa,755,1,8.72,1
Liam Davis,357,2,1109.04,2
Liam Johansson,879,1,44.79,1
Liam Jones,806,2,50.4,1
Liam Kim,564,1,101.1,1
Liam Laurent,838,1,597.19,1
Liam Martin,43,1,320.17,0
Liam Nilsson,477,1,70.4,0
Liam Patel,399,1,96.15,0
Liam Pereira,867,1,116.33,1
Liam Rodriguez,84,2,440.14000000000004,2
Liam Romano,738,1,58.76,1
Liam Rossi,754,1,25.4,1
Liam Russo,374,1,1189.16,3
Liam Schmidt,449,1,55.6,0
Liam Sharma,51,1,28.73,0
Liam Smith,74,1,238.4,0
Liam Tanaka,708,1,186.41,1
Liam Taylor,366,1,80.89,0
Liam Wang,887,1,84.63,1
Liam White,228,1,42.82,0
Liam Zhang,195,1,21.34,0
Linda Brown,877,1,246.19,1
Linda Fischer,479,1,121.36,0
Linda Harris,388,1,220.36,0
Linda Hassan,161,1,251.68,0
Linda Johnson,210,1,254.07,0
Linda Khan,92,1,207.42,0
Linda Kumar,767,1,435.36,1
Linda Laurent,788,1,15.15,1
Linda Martin,750,1,127.12,1
Linda Müller,722,1,24.74,1
Linda Nilsson,1,1,523.65,0
Linda Patel,523,1,335.32,0
Linda Rodriguez,443,1,47.97,0
Linda Russo,801,2,405.14,2
Linda Santos,474,1,148.65,0
Linda Sato,616,1,67.14,1
Linda Smith,397,2,786.6899999999999,2
Linda Suzuki,562,1,291.84,1
Linda Thompson,420,1,104.2,0
Linda Wang,215,1,90.48,0
Linda Weber,448,1,2762.4,3
Linda Zhang,67,1,114.6,0
Lucas Anderson,1032,1,79.84,1
Lucas Brown,232,2,236.81,2
Lucas Chen,913,2,1789.77,3
Lucas Clark,29,1,39.07,0
Lucas Costa,249,1,62.17,0
Lucas Hassan,88,1,1267.83,3
Lucas Jones,890,1,16.91,1
Lucas Khan,959,1,590.48,1
Lucas Kim,214,2,1513.4299999999998,3
Lucas Laurent,501,1,254.28,0
Lucas Leroy,831,1,9.94,1
Lucas Li,757,1,649.62,1
Lucas Moreau,193,2,692.5400000000001,2
Lucas Müller,406,1,27.06,0
Lucas Nilsson,190,2,2734.69,3
Lucas Oliveira,828,1,146.0,1
Lucas Park,439,1,179.65,0
Lucas Rodriguez,687,1,154.2,1
Lucas Romano,122,1,193.3,0
Lucas Russo,607,2,380.79999999999995,2
Lucas Sato,25,2,761.31,2
Lucas Schmidt,1049,1,202.61,1
Lucas Sharma,1061,1,1178.95,1
Lucas Suzuki,802,2,72.80000000000001,1
Lucas Tanaka,277,1,412.13,0
Lucas Thomas,836,1,50.51,1
Lucas White,910,1,6.29,1
Lucas Williams,584,1,106.47,1
Lucas Yamamoto,306,1,87.28,0
Marco Davis,330,1,105.83,0
Marco Ferrari,177,1,59.17,0
Marco Harris,915,1,154.06,1
Marco Hassan,689,1,52.11,1
Marco Kim,347,1,9.18,0
Marco Martin,940,1,189.73,1
Marco Moreau,1084,1,109.03,1
Marco Nilsson,827,1,126.55,1
Marco Rodriguez,430,1,45.45,0
Marco Santos,587,1,2620.28,3
Marco Sato,52,2,336.78999999999996,2
Marco Sharma,556,2,1814.97,3
Marco Tanaka,112,1,41.74,0
Marco Taylor,17,2,1195.1100000000001,2
Marco Weber,632,1,878.42,1
Maria Ahmed,94,1,150.7,0
Maria Anderson,603,1,158.64,1
Maria Costa,478,3,326.76,2
Maria Ferrari,680,1,221.84,1
Maria Hassan,552,1,367.5,1
Maria Johnson,441,1,327.46,0
Maria Khan,719,1,151.34,1
Maria Laurent,1058,1,8.67,1
Maria Leroy,3,1,388.58,0
Maria Martin,26,1,71.23,0
Maria Martinez,997,1,120.23,1
Maria Miller,745,1,45.26,1
Maria Moreau,330,1,201.15,0
Maria Müller,298,1,11.23,0
Maria Rodriguez,154,2,376.6,2
Maria Rossi,548,1,123.84,1
Maria Schmidt,997,1,152.16,1
Maria Sharma,1062,1,71.14,1
Maria Suzuki,1,2,154.95,2
Maria Tanaka,813,2,195.09,2
Maria Thomas,467,1,126.2,0
Maria Weber,81,2,322.21999999999997,2
Maria Yamamoto,215,3,557.74,2
Maria Zhang,688,1,74.68,1
Mary Anderson,90,2,78.26,2
Mary Chen,279,2,407.72,2
Mary Clark,372,2,108.73,2
Mary Davis,1077,1,485.0,1
Mary Ferrari,1069,1,51.25,1
Mary Fischer,54,2,185.63,2
Mary Garcia,593,1,92.8,1
Mary Hassan,866,1,346.52,1
Mary Jackson,26,1,8.96,0
Mary Johansson,922,1,344.98,1
Mary Khan,143,3,256.84000000000003,2
Mary Laurent,179,2,81.06,2
Mary Martin,854,1,280.22,1
Mary Martinez,75,1,80.36,0
Mary Miller,315,2,72.53999999999999,2
Mary Oliveira,511,1,115.85,0
Mary Patel,333,1,65.04,0
Mary Rodriguez,529,1,21.38,0
Mary Rossi,56,1,82.24,0
Mary Russo,701,1,15.66,1
Mary Smith,826,2,827.77,2
Mary Weber,259,3,151.8,2
Mary White,428,1,601.04,0
Mary Yamamoto,31,1,1932.8,3
Mia Ali,466,2,121.33000000000001,2
Mia Anderson,290,1,371.17,0
Mia Brown,209,1,262.0,0
Mia Chen,464,1,142.41,0
Mia Clark,715,2,105.52,2
Mia Costa,452,1,512.33,0
Mia Davis,855,1,31.21,1
Mia Ferrari,1014,1,20.74,1
Mia Harris,156,3,293.68,2
Mia Johansson,243,1,791.59,0
Mia Johnson,154,1,26.43,0
Mia Jones,449,2,384.05,2
Mia Laurent,420,1,77.65,0
Mia Li,386,1,217.06,0
Mia Martin,621,2,55.87,2
Mia Müller,1044,1,122.43,1
Mia Romano,527,1,583.17,0
Mia Santos,162,3,301.37,2
Mia Sharma,595,2,128.51999999999998,2
Mia Smith,637,2,199.67000000000002,2
Mia Tanaka,21,1,332.84,0
Mia Wang,159,1,222.04,0
Mia Weber,332,2,266.43,2
Mia White,535,1,345.35,0
Michael Ahmed,166,1,392.02,0
Michael Ali,852,1,294.15,1
Michael Davis,340,2,415.10999999999996,2
Michael Ferrari,447,4,159.15,2
Michael Garcia,667,1,152.19,1
Michael Harris,1068,1,54.25,1
Michael Hassan,1039,1,64.18,1
Michael Khan,858,2,578.49,2
Michael Kim,623,1,58.17,1
Michael Leroy,300,1,76.19,0
Michael Li,837,1,449.07,1
Michael Martin,920,1,17.95,1
Michael Miller,226,1,45.49,0
Michael Nilsson,346,1,171.83,0
Michael Oliveira,152,1,8.78,0
Michael Park,92,1,66.93,0
Michael Rodriguez,880,1,185.96,1
Michael Sato,804,1,66.02,1
Michael Schmidt,541,1,15.86,0
Michael Sharma,632,1,47.96,1
Michael Smith,81,1,109.38,0
Michael Tanaka,249,2,315.68,2
Michael Taylor,630,1,151.42,1
Michael Yamamoto,208,4,624.46,2
Michael Zhang,1055,1,13.39,1
Nadia Ahmed,117,1,22.62,0
Nadia Anderson,557,1,20.68,1
Nadia Brown,960,1,25.6,1
Nadia Costa,606,2,464.42,2
Nadia Davis,554,1,47.7,1
Nadia Dubois,411,1,43.01,0
Nadia Harris,394,2,615.34,2
Nadia Jackson,910,1,35.5,1
Nadia Johansson,659,1,430.78,1
Nadia Laurent,641,1,521.8,1
Nadia Leroy,159,1,741.08,0
Nadia Martin,212,3,490.55,2
Nadia Martinez,447,1,14.85,0
Nadia Nilsson,16,1,827.42,0
Nadia Oliveira,361,1,150.65,0
Nadia Pereira,211,2,98.9,2
Nadia Robinson,370,1,343.63,0
Nadia Rodriguez,237,1,101.79,0
Nadia Romano,653,1,7.66,1
Nadia Rossi,758,1,135.0,1
Nadia Santos,386,2,185.57999999999998,2
Nadia Tanaka,801,2,1176.52,3
Nadia Taylor,452,1,16.82,0
Nadia Thomas,190,1,96.82,0
Nadia Wang,257,3,2958.9700000000003,3
Nadia Weber,1006,1,68.44,1
Nadia Zhang,557,2,519.76,2
Noah Ali,737,1,243.22,1
Noah Chen,205,2,297.26,2
Noah Clark,667,1,478.25,1
Noah Dubois,483,1,143.71,0
Noah Ferrari,418,1,205.27,0
Noah Fischer,99,1,15.04,0
Noah Hassan,513,1,13.5,0
Noah Johansson,821,1,758.29,1
Noah Jones,16,2,292.3,2
Noah Khan,935,1,374.13,1
Noah Leroy,710,1,183.4,1
Noah Martinez,636,1,100.68,1
Noah Moreau,258,2,2141.76,3
Noah Müller,655,1,219.07,1
Noah Nilsson,225,1,253.14,0
Noah Oliveira,884,1,520.15,1
Noah Rodriguez,145,1,279.54,0
Noah Russo,166,2,732.96,2
Noah Santos,905,1,10.06,1
Noah Smith,884,1,732.06,1
Noah Suzuki,327,1,145.48,0
Noah Tanaka,187,1,502.91,0
Noah Taylor,849,1,92.48,1
Noah Thomas,42,1,12.78,0
Olga Ahmed,725,1,60.89,1
Olga Ali,265,1,13.24,0
Olga Anderson,631,1,169.04,1
Olga Davis,17,3,360.48,2
Olga Garcia,88,1,572.74,0
Olga Hassan,998,1,211.75,1
Olga Johansson,192,1,625.88,0
Olga Kim,231,2,2095.6499999999996,3
Olga Leroy,129,3,553.25,2
Olga Li,499,1,15.61,0
Olga Miller,34,1,18.75,0
Olga Müller,814,1,802.07,1
Olga Nilsson,23,2,850.96,2
Olga Patel,917,1,19.58,1
Olga Pereira,698,2,114.12,2
Olga Robinson,26,3,346.92,2
Olga Romano,571,1,182.0,1
Olga Russo,265,2,952.73,2
Olga Schmidt,901,1,1637.23,3
Olga Suzuki,538,2,739.4100000000001,2
Olga Taylor,306,2,449.59000000000003,2
Olga Thompson,597,2,126.72999999999999,2
Olga Wang,272,1,69.84,0
Olga Weber,107,1,95.06,0
Olga Yamamoto,138,2,602.73,2
Olga Zhang,1005,1,40.72,1
Olivia Ali,98,1,40.39,0
Olivia Anderson,79,3,205.2,2
Olivia Clark,226,1,46.37,0
Olivia Davis,584,1,47.56,1
Olivia Ferrari,828,1,418.55,1
Olivia Garcia,482,1,48.32,0
Olivia Johnson,458,1,148.51,0
Olivia Jones,460,1,270.47,0
Olivia Kim,280,1,232.02,0
Olivia Kumar,962,1,131.73,1
Olivia Laurent,756,1,9.23,1
Olivia Leroy,54,1,157.57,0
Olivia Miller,719,1,247.06,1
Olivia Moreau,884,1,616.26,1
Olivia Nilsson,432,2,429.3,2
Olivia Patel,537,2,501.29999999999995,2
Olivia Pereira,565,1,39.61,1
Olivia Robinson,634,1,189.92,1
Olivia Rossi,881,1,79.61,1
Olivia Sato,664,1,167.02,1
Olivia Schmidt,179,1,9.44,0
Olivia Sharma,449,2,421.05,2
Olivia Wang,589,1,35.11,1
Olivia White,287,1,138.68,0
Olivia Williams,607,1,366.51,1
Olivia Zhang,301,2,85.31,2
Omar Ali,32,1,60.11,0
Omar Costa,475,3,518.5,2
Omar Dubois,455,2,117.78,2
Omar Fischer,618,1,151.73,1
Omar Garcia,938,2,38.16,1
Omar Hassan,856,1,229.28,1
Omar Jackson,447,1,133.88,0
Omar Leroy,1013,1,105.78,1
Omar Li,822,1,143.33,1
Omar Müller,897,1,1205.55,1
Omar Nilsson,47,2,2138.87,3
Omar Park,159,3,178.86,2
Omar Patel,242,1,255.07,0
Omar Rodriguez,547,1,30.08,1
Omar Russo,159,3,75.37,2
Omar Schmidt,274,1,1780.56,3
Omar Singh,860,1,22.84,1
Omar Thomas,269,2,161.42000000000002,2
Omar Thompson,455,1,1093.11,3
Omar Weber,481,1,31.92,0
Omar Williams,548,3,1446.12,3
Omar Yamamoto,325,2,347.74,2
Oscar Ali,236,1,100.12,0
Oscar Anderson,399,2,141.77,2
Oscar Chen,167,1,751.33,0
Oscar Costa,768,1,16.43,1
Oscar Davis,26,1,96.6,0
Oscar Johansson,490,1,52.05,0
Oscar Johnson,906,1,121.18,1
Oscar Jones,1039,1,47.25,1
Oscar Khan,704,1,75.28,1
Oscar Kim,604,2,113.59,2
Oscar Martin,26,2,142.57,2
Oscar Martinez,318,3,967.27,2
Oscar Miller,230,2,689.21,2
Oscar Müller,150,1,166.0,0
Oscar Nilsson,362,1,603.39,0
Oscar Pereira,705,1,36.74,1
Oscar Santos,945,1,322.01,1
Oscar Schmidt,361,2,91.92,2
Oscar Taylor,1009,1,104.51,1
Oscar Thomas,781,2,71.13,2
Oscar Thompson,280,3,281.66,2
Oscar Wang,680,1,65.35,1
Oscar White,871,1,70.97,1
Oscar Williams,473,1,37.65,0
Oscar Zhang,405,1,417.87,0
Patricia Chen,945,1,112.42,1
Patricia Clark,674,1,22.66,1
Patricia Costa,374,1,138.6,0
Patricia Dubois,962,1,91.16,1
Patricia Ferrari,342,1,36.6,0
Patricia Garcia,167,1,43.53,0
Patricia Jackson,188,2,271.78,2
Patricia Khan,688,1,12.56,1
Patricia Kim,220,2,296.90000000000003,2
Patricia Leroy,237,1,155.47,0
Patricia Martinez,817,1,30.78,1
Patricia Müller,954,2,298.36,1
Patricia Park,320,1,29.16,0
Patricia Pereira,107,2,1451.69,3
Patricia Rossi,644,1,36.21,1
Patricia Santos,444,1,55.24,0
Patricia Wang,285,1,149.72,0
Patricia Weber,107,2,52.15,2
Patricia Zhang,217,1,459.92,0
Pierre Ahmed,367,1,126.94,0
Pierre Anderson,121,1,555.39,0
Pierre Costa,120,1,53.11,0
Pierre Fischer,68,4,1234.94,2
Pierre Garcia,255,1,15.62,0
Pierre Hassan,409,1,138.81,0
Pierre Jackson,562,1,456.08,1
Pierre Jones,462,1,24.89,0
Pierre Leroy,291,2,735.62,2
Pierre Patel,482,1,184.73,0
Pierre Pereira,252,1,138.49,0
Pierre Robinson,11,1,51.1,0
Pierre Rodriguez,535,1,270.49,0
Pierre Romano,860,1,665.42,1
Pierre Smith,472,1,12.16,0
Pierre Suzuki,30,1,22.39,0
Pierre Wang,72,2,327.82,2
Pierre Weber,66,3,470.54999999999995,2
Pierre Yamamoto,1015,1,181.74,1
Priya Ali,900,1,108.6,1
Priya Brown,222,2,216.8,2
Priya Chen,972,1,21.87,1
Priya Costa,56,2,612.54,2
Priya Ferrari,352,2,1167.53,3
Priya Garcia,825,1,189.3,1
Priya Harris,74,1,172.08,0
Priya Jackson,854,2,3836.46,3
Priya Johansson,735,1,172.7,1
Priya Jones,539,2,129.34,2
Priya Kumar,596,1,199.44,1
Priya Laurent,694,1,342.15,1
Priya Leroy,602,2,43.07,2
Priya Li,736,1,44.15,1
Priya Martin,739,2,100.24,2
Priya Martinez,907,2,161.57,1
Priya Nilsson,668,2,37.07,2
Priya Oliveira,542,1,2901.11,3
Priya Park,998,1,101.8,1
Priya Patel,265,1,174.05,0
Priya Robinson,550,1,47.55,1
Priya Rodriguez,666,1,710.18,1
Priya Romano,267,1,116.2,0
Priya Sato,427,1,18.61,0
Priya Schmidt,513,2,203.6,2
Priya Sharma,255,1,938.81,0
Priya Singh,330,1,133.95,0
Priya Smith,405,2,1588.92,3
Priya Thomas,5,3,94.61,2
Priya Wang,1047,1,41.84,1
Priya Weber,523,2,162.66,2
Priya Williams,613,1,103.57,1
Priya Zhang,1003,1,27.88,1
Raj Anderson,778,1,18.14,1
Raj Chen,927,1,20.62,1
Raj Costa,1074,1,7.26,1
Raj Garcia,337,1,356.83,0
Raj Harris,268,2,993.37,2
Raj Johnson,401,1,518.07,0
Raj Khan,756,1,9.12,1
Raj Li,635,1,43.56,1
Raj Martinez,310,2,1030.05,2
Raj Oliveira,819,1,779.58,1
Raj Patel,49,2,44.120000000000005,2
Raj Pereira,246,1,123.1,0
Raj Rodriguez,600,1,76.11,1
Raj Rossi,34,2,262.03,2
Raj Santos,505,1,1111.23,3
Raj Sato,161,2,115.48,2
Raj Schmidt,447,1,53.34,0
Raj Singh,737,1,17.86,1
Raj Thomas,974,1,215.52,1
Raj Thompson,109,2,183.79,2
Raj Weber,547,1,42.3,1
Raj White,33,1,25.08,0
Raj Yamamoto,314,1,167.77,0
Richard Ali,90,3,94.72,2
Richard Brown,587,1,223.56,1
Richard Costa,490,1,708.42,0
Richard Dubois,314,1,68.31,0
Richard Garcia,631,1,25.2,1
Richard Harris,1003,1,130.71,1
Richard Jackson,360,2,126.09,2
Richard Johnson,584,1,63.84,1
Richard Kumar,633,1,313.19,1
Richard Leroy,210,1,396.42,0
Richard Li,942,1,8.57,1
Richard Martinez,25,1,9.89,0
Richard Moreau,816,1,75.07,1
Richard Müller,1002,1,505.36,1
Richard Park,373,1,42.42,0
Richard Patel,503,1,58.34,0
Richard Rodriguez,711,1,178.7,1
Richard Romano,24,2,464.38,2
Richard Rossi,211,2,628.5600000000001,2
Richard Santos,445,1,240.21,0
Richard Sharma,166,1,40.3,0
Richard Tanaka,478,2,990.69,2
Richard Weber,262,1,131.94,0
Richard Williams,238,1,81.41,0
Richard Yamamoto,262,2,530.26,2
Richard Zhang,289,1,242.53,0
Robert Chen,323,2,604.48,2
Robert Clark,806,1,196.92,1
Robert Davis,239,1,204.96,0
Robert Dubois,754,1,49.38,1
Robert Garcia,469,1,38.67,0
Robert Harris,182,2,64.69,2
Robert Jackson,961,1,143.37,1
Robert Khan,82,3,144.81,2
Robert Leroy,120,2,217.86,2
Robert Martinez,25,1,410.43,0
Robert Park,71,2,461.54,2
Robert Patel,299,1,730.63,0
Robert Robinson,1028,1,775.8,1
Robert Rodriguez,100,2,451.99,2
Robert Russo,65,1,34.75,0
Robert Sato,9,1,16.06,0
Robert Schmidt,631,1,151.76,1
Robert Sharma,945,1,217.35,1
Robert Smith,912,1,24.14,1
Robert Tanaka,104,1,161.92,0
Robert Taylor,199,2,180.36,2
Robert Thomas,144,1,125.54,0
Robert Thompson,592,1,20.52,1
Robert Wang,325,1,229.95,0
Sakura Ahmed,422,1,141.35,0
Sakura Ali,845,1,110.27,1
Sakura Chen,276,1,122.02,0
Sakura Costa,358,1,181.04,0
Sakura Davis,212,2,1744.74,3
Sakura Dubois,986,1,1159.91,1
Sakura Garcia,469,1,12.88,0
Sakura Harris,88,2,870.93,2
Sakura Jones,523,2,112.75999999999999,2
Sakura Kim,175,1,81.92,0
Sakura Martin,1058,1,69.02,1
Sakura Martinez,1077,1,128.02,1
Sakura Müller,558,1,141.5,1
Sakura Nilsson,112,1,102.78,0
Sakura Oliveira,628,1,96.64,1
Sakura Rodriguez,635,3,161.3,2
Sakura Rossi,93,1,176.58,0
Sakura Smith,594,2,473.46,2
Sakura Thomas,397,4,1835.02,3
Sakura Zhang,285,1,135.82,0
Sarah Brown,274,1,128.97,0
Sarah Chen,522,2,3184.56,3
Sarah Clark,115,2,543.56,2
Sarah Davis,376,3,254.4,2
Sarah Harris,28,2,239.96,2
Sarah Hassan,213,1,17.12,0
Sarah Jackson,566,2,1085.95,2
Sarah Johansson,388,1,32.95,0
Sarah Johnson,76,2,199.39,2
Sarah Khan,484,3,1176.28,2
Sarah Kim,78,2,427.73,2
Sarah Leroy,239,1,485.4,0
Sarah Li,816,1,408.07,1
Sarah Miller,465,1,149.36,0
Sarah Moreau,638,1,52.76,1
Sarah Nilsson,36,1,84.85,0
Sarah Patel,464,2,914.69,2
Sarah Robinson,600,2,169.34,2
Sarah Rossi,191,2,84.3,2
Sarah Santos,396,1,375.54,0
Sarah Sharma,292,2,687.53,2
Sarah Smith,263,1,7.02,0
Sarah Suzuki,796,1,419.54,1
Sarah Tanaka,238,2,117.78,2
Sarah Thompson,754,2,766.33,2
Sarah Weber,100,1,602.87,0
Sarah Zhang,1073,1,185.18,1
Sophie Ahmed,356,1,197.61,0
Sophie Brown,844,1,118.94,1
Sophie Chen,195,2,266.6,2
Sophie Clark,3,3,571.4100000000001,2
Sophie Harris,913,2,152.89999999999998,1
Sophie Jackson,278,1,215.05,0
Sophie Johansson,441,1,4.14,0
Sophie Johnson,248,1,8.55,0
Sophie Jones,263,1,89.92,0
Sophie Khan,15,1,343.95,0
Sophie Kim,408,1,34.77,0
Sophie Leroy,84,1,73.71,0
Sophie Li,552,1,66.68,1
Sophie Martin,151,2,560.46,2
Sophie Martinez,72,3,1500.83,3
Sophie Miller,752,1,38.64,1
Sophie Park,1046,1,206.72,1
Sophie Pereira,406,1,336.43,0
Sophie Rossi,246,1,29.71,0
Sophie Sato,148,1,118.42,0
Sophie Schmidt,61,2,426.84000000000003,2
Sophie Sharma,115,1,170.05,0
Sophie Tanaka,88,1,414.36,0
Sophie Thomas,992,1,772.8,1
Sophie Weber,580,1,118.7,1
Sophie White,108,2,225.02999999999997,2
Sophie Williams,494,1,37.81,0
Sophie Yamamoto,957,1,134.2,1
Sophie Zhang,51,1,15.08,0
Susan Ali,44,1,241.57,0
Susan Chen,792,1,72.31,1
Susan Davis,1083,1,848.92,1
Susan Garcia,235,1,6.24,0
Susan Harris,192,1,130.4,0
Susan Hassan,633,1,158.98,1
Susan Jackson,53,2,810.94,2
Susan Johansson,1069,1,167.34,1
Susan Kim,1025,1,210.93,1
Susan Kumar,581,1,154.78,1
Susan Laurent,104,1,108.22,0
Susan Leroy,233,2,24.92,2
Susan Li,674,1,250.72,1
Susan Miller,910,1,88.43,1
Susan Patel,434,1,41.72,0
Susan Russo,1,1,310.97,0
Susan Schmidt,516,1,225.15,0
Susan Wang,869,1,472.62,1
Susan Weber,25,2,126.5,2
Susan White,295,2,490.63,2
Susan Yamamoto,54,1,245.38,0
Susan Zhang,687,2,534.53,2
Thomas Brown,212,1,303.33,0
Thomas Chen,456,3,743.0,2
Thomas Clark,281,1,46.7,0
Thomas Costa,234,2,258.74,2
Thomas Ferrari,757,1,59.92,1
Thomas Hassan,94,1,513.14,0
Thomas Jackson,435,1,36.33,0
Thomas Johnson,439,1,248.51,0
Thomas Laurent,49,2,668.12,2
Thomas Li,933,1,25.63,1
Thomas Miller,718,1,28.36,1
Thomas Oliveira,118,3,518.9300000000001,2
Thomas Patel,1022,1,275.31,1
Thomas Rodriguez,554,3,228.76999999999998,2
Thomas Santos,848,1,40.42,1
Thomas Smith,79,2,792.01,2
Thomas Suzuki,35,2,372.25,2
Thomas Tanaka,315,1,15.32,0
Thomas Thomas,363,1,47.66,0
Thomas Thompson,383,2,207.05,2
Thomas Wang,505,1,51.09,0
Thomas Weber,216,1,547.01,0
Thomas Yamamoto,503,1,59.85,0
Thomas Zhang,233,1,147.53,0
Wei Ali,389,1,136.29,0
Wei Anderson,257,1,242.96,0
Wei Chen,1021,1,523.38,1
Wei Costa,573,1,38.26,1
Wei Fischer,756,2,105.22999999999999,2
Wei Harris,216,2,960.81,2
Wei Hassan,756,1,102.21,1
Wei Jackson,61,1,2566.56,3
Wei Johansson,984,1,49.46,1
Wei Johnson,626,1,331.83,1
Wei Jones,654,1,158.15,1
Wei Khan,443,1,8.54,0
Wei Laurent,170,1,109.84,0
Wei Li,256,4,2042.1399999999999,3
Wei Martinez,607,1,217.59,1
Wei Moreau,271,2,251.06,2
Wei Müller,259,3,311.89,2
Wei Patel,464,2,149.18,2
Wei Rodriguez,613,1,436.05,1
Wei Romano,939,1,140.33,1
Wei Santos,752,2,387.13,2
Wei Sato,524,2,729.63,2
Wei Sharma,138,1,338.72,0
Wei Smith,786,1,61.65,1
Wei Suzuki,503,1,499.8,0
Wei Taylor,577,1,390.41,1
Wei Thompson,125,2,155.51999999999998,2
Wei Wang,418,1,105.0,0
Wei White,63,1,1118.04,0
Wei Yamamoto,878,1,215.09,1
Wei Zhang,89,1,128.36,0
William Ahmed,722,1,264.98,1
William Ali,55,1,408.32,0
William Chen,136,3,216.18,2
William Clark,663,2,108.74,2
William Ferrari,431,2,987.18,2
William Garcia,197,1,16.16,0
William Hassan,937,1,21.86,1
William Khan,224,1,30.06,0
William Kim,714,2,271.07000000000005,2
William Martin,126,1,18.64,0
William Martinez,172,2,107.88,2
William Miller,756,1,59.74,1
William Moreau,521,1,43.48,0
William Nilsson,1004,1,268.98,1
William Robinson,159,2,322.89,2
William Rodriguez,75,1,29.3,0
William Romano,473,1,104.65,0
William Sato,45,1,278.17,0
William Sharma,1064,1,186.5,1
William Smith,662,1,10.33,1
William Wang,266,1,251.86,0
William Yamamoto,820,1,619.17,1
William Zhang,228,1,28.62,0
Xiao Ali,645,1,838.3,1
Xiao Brown,162,1,576.5,0
Xiao Davis,8,1,121.12,0
Xiao Ferrari,42,2,90.2,2
Xiao Harris,765,1,18.28,1
Xiao Jackson,60,1,48.46,0
Xiao Johansson,17,1,9.32,0
Xiao Johnson,561,1,74.88,1
Xiao Kumar,575,1,32.28,1
Xiao Laurent,862,1,98.61,1
Xiao Martin,473,1,189.41,0
Xiao Robinson,4,2,199.66,2
Xiao Rodriguez,269,2,71.9,2
Xiao Romano,30,2,163.21,2
Xiao Santos,130,1,879.9,0
Xiao Sharma,240,1,29.71,0
Xiao Smith,888,1,17.02,1
Xiao Taylor,926,1,143.72,1
Xiao Wang,833,1,231.96,1
Xiao Weber,291,1,32.46,0
Xiao White,254,1,415.65,0
Yuki Chen,713,1,20.84,1
Yuki Costa,366,2,128.6,2
Yuki Ferrari,697,1,343.07,1
Yuki Johnson,583,1,135.89,1
Yuki Kim,7,2,311.13,2
Yuki Kumar,1063,1,989.39,1
Yuki Martin,693,1,269.56,1
Yuki Miller,93,1,113.45,0
Yuki Patel,1036,1,627.38,1
Yuki Pereira,472,1,59.06,0
Yuki Robinson,152,1,109.42,0
Yuki Rodriguez,848,1,144.72,1
Yuki Sharma,448,1,115.27,0
Yuki Suzuki,198,1,25.69,0
Yuki Thomas,394,1,379.59,0
Yuki Thompson,565,1,6.93,1
Yuki Zhang,851,1,12.77,1
Zara Anderson,505,1,313.98,0
